|name     |ra      |dec     |phot_mag|hubble_type|ugc_number|mcg          |class               |
|UGC 7060 |12 04 28|+01 54.3|    13.8|E          |      7060|MCG+00-31-029|   ELLIPTICAL GALAXY|
|UGC 1573 |02 04 47|+01 54.3|    16.5|Sc         |      1573|MCG+00-06-028|       SPIRAL GALAXY|
|UGC 10386|16 27 20|+01 54.3|    15.2|Sc         |     10386|MCG+00-42-000|       SPIRAL GALAXY|
|UGC 1464 |01 59 05|+01 54.5|    17.0|DWRF IR    |      1464|MCG+00-06-000|        DWARF GALAXY|
|UGC 5694 |10 29 41|+01 54.6|    15.3|DBL SYS    |      5694|MCG+00-27-000|              GALAXY|
|UGC 3630 |07 01 00|+01 54.7|    15.5|S          |      3630|MCG+00-18-001|              GALAXY|
|UGC 2132 |02 38 23|+01 54.9|    14.6|SBb        |      2132|MCG+00-07-068|SPIRAL GALAXY BARRED|
|UGC 9960 |15 40 08|+01 55.4|    15.5|Sa         |      9960|MCG+00-40-000|       SPIRAL GALAXY|
|UGC 9746 |15 10 20|+01 55.7|    15.0|Sb-c       |      9746|MCG+00-39-008|       SPIRAL GALAXY|
|UGC 2804 |03 38 05|+01 55.8|    16.5|Sc         |      2804|MCG+00-10-000|       SPIRAL GALAXY|
|UGC 11595|20 35 02|+01 56.4|    15.6|Sb-c       |     11595|MCG+00-52-036|       SPIRAL GALAXY|
|UGC 369  |00 37 10|+01 56.5|    14.5|Sb/Sc      |       369|MCG+00-02-092|       SPIRAL GALAXY|
|UGC 2513 |03 03 35|+01 56.7|    15.0|Sa:        |      2513|MCG+00-08-000|       SPIRAL GALAXY|
|UGC 1797 |02 19 59|+01 56.7|    15.2|S0-a       |      1797|MCG+00-07-003|   LENTICULAR GALAXY|
|UGC 11525|20 12 20|+01 57.0|    15.4|Sa-b       |     11525|MCG+00-51-009|       SPIRAL GALAXY|
|UGC 2936 |04 02 48|+01 57.3|    15.7|Sc         |      2936|MCG+00-11-007|       SPIRAL GALAXY|
|UGC 9499 |14 45 02|+01 57.4|    12.3|Sb         |      9499|MCG+00-38-005|       SPIRAL GALAXY|
|UGC 2112 |02 37 35|+01 58.0|    14.3|E          |      2112|MCG+00-07-057|   ELLIPTICAL GALAXY|
|UGC 389  |00 38 28|+01 58.5|    15.4|           |       389|MCG+00-02-099|              GALAXY|
|UGC 6440 |11 26 04|+01 58.5|    14.7|Sb         |      6440|MCG+00-29-032|       SPIRAL GALAXY|
|UGC 2355 |02 52 23|+01 59.3|    18.0|DWARF      |      2355|MCG+00-08-000|        DWARF GALAXY|
|UGC 7021 |12 02 46|+01 59.3|    13.5|Sa         |      7021|MCG+00-31-022|       SPIRAL GALAXY|
|UGC 7895 |12 43 21|+01 59.6|    11.9|SB0        |      7895|MCG+00-33-005|SPIRAL GALAXY BARRED|
|UGC 10824|17 22 19|+02 00.2|    15.1|S          |     10824|MCG+00-44-003|              GALAXY|
|UGC 9980 |15 42 32|+02 00.5|    15.2|SB0        |      9980|MCG+00-40-000|SPIRAL GALAXY BARRED|
|UGC 1021 |01 26 41|+02 00.6|    13.6|S          |      1021|MCG+00-04-146|              GALAXY|
|UGC 10339|16 20 08|+02 00.9|    14.3|           |     10339|MCG+00-42-001|              GALAXY|
|UGC 11826|21 50 51|+02 01.1|    15.0|SBa-b      |     11826|MCG+00-55-020|SPIRAL GALAXY BARRED|
|UGC 7178 |12 11 04|+02 01.3|    17.0|DWRF IR    |      7178|MCG+00-31-036|        DWARF GALAXY|
|UGC 8924 |14 00 44|+02 01.5|    14.7|Sc         |      8924|MCG+00-36-009|       SPIRAL GALAXY|
|UGC 963  |01 24 35|+02 01.6|    15.3|E-S0       |       963|MCG+00-04-117|   ELLIPTICAL GALAXY|
|UGC 8105 |12 59 57|+02 01.8|    15.5|DBL SYS    |      8105|MCG+00-33-000|              GALAXY|
|UGC 11607|20 39 44|+02 02.7|    14.8|S?         |     11607|MCG+00-52-044|              GALAXY|
|UGC 11965|22 15 45|+02 03.0|    14.9|S0-a       |     11965|MCG+00-56-016|   LENTICULAR GALAXY|
|UGC 2095 |02 36 41|+02 03.0|    14.9|E?         |      2095|MCG+00-07-052|   ELLIPTICAL GALAXY|
|UGC 11742|21 26 26|+02 03.0|    16.5|S          |     11742|MCG+00-54-000|              GALAXY|
|UGC 7034 |12 03 40|+02 03.3|    14.8|PECULR?    |      7034|MCG+00-31-024|              GALAXY|
|UGC 980  |01 25 11|+02 03.6|    14.9|SB0        |       980|MCG+00-04-128|SPIRAL GALAXY BARRED|
|UGC 779  |01 13 58|+02 03.9|    15.0|S-IRR      |       779|MCG+00-04-046|              GALAXY|
|UGC 8666 |13 41 57|+02 03.9|    15.5|CHAIN      |      8666|MCG+00-35-017|              GALAXY|
|UGC 9692 |15 05 20|+02 04.4|    12.1|S0         |      9692|MCG+00-38-022|   LENTICULAR GALAXY|
|UGC 1448 |01 58 11|+02 04.6|    15.1|Sc         |      1448|MCG+00-06-011|       SPIRAL GALAXY|
|UGC 1293 |01 49 59|+02 04.9|    15.0|Sa-b       |      1293|MCG+00-05-036|       SPIRAL GALAXY|
|UGC 2114 |02 37 53|+02 05.0|    14.9|E          |      2114|MCG+00-07-060|   ELLIPTICAL GALAXY|
|UGC 5022 |09 25 47|+02 05.0|    14.9|Sa-b       |      5022|MCG+00-24-014|       SPIRAL GALAXY|
|UGC 1208 |01 43 35|+02 05.1|    15.7|Sa-b       |      1208|MCG+00-05-032|       SPIRAL GALAXY|
|UGC 8774 |13 52 21|+02 05.2|    14.3|DBL SYS    |      8774|MCG+00-35-022|              GALAXY|
|UGC 7370 |12 19 46|+02 05.4|    14.6|Sb-c       |      7370|MCG+00-32-001|       SPIRAL GALAXY|
