|name     |ra      |dec     |phot_mag|hubble_type|ugc_number|mcg          |class               |
|UGC 12768|23 45 22|-01 40.3|    14.5|S0         |     12768|MCG+00-60-043|   LENTICULAR GALAXY|
|UGC 11723|21 19 59|-01 40.3|    14.9|Sb         |     11723|MCG+00-54-012|       SPIRAL GALAXY|
|UGC 4149 |07 59 32|-01 40.2|    16.5|IV-V       |      4149|MCG+00-21-000|              GALAXY|
|UGC 11814|21 48 23|-01 40.0|    14.3|           |     11814|MCG+00-55-016|              GALAXY|
|UGC 11747|21 28 05|-01 38.9|    14.8|E-S0       |     11747|MCG+00-54-019|   ELLIPTICAL GALAXY|
|UGC 1016 |01 26 21|-01 38.4|    14.9|S0-a       |      1016|MCG+00-04-144|   LENTICULAR GALAXY|
|UGC 7964 |12 47 52|-01 38.4|    14.0|E-S0       |      7964|MCG+00-33-012|   ELLIPTICAL GALAXY|
|UGC 9888 |15 33 05|-01 38.1|    14.5|S-IRR      |      9888|MCG+00-40-003|              GALAXY|
|UGC 2607 |03 14 08|-01 37.9|    14.8|SBb        |      2607|MCG+00-09-029|SPIRAL GALAXY BARRED|
|UGC 6984 |11 59 22|-01 37.7|    14.5|E          |      6984|MCG+00-31-013|   ELLIPTICAL GALAXY|
|UGC 435  |00 41 03|-01 37.5|    15.6|           |       435|MCG+00-02-124|              GALAXY|
|UGC 10554|16 48 23|-01 37.2|    15.7|Sc         |     10554|MCG+00-43-000|       SPIRAL GALAXY|
|UGC 4802 |09 08 27|-01 37.2|    15.3|Sc         |      4802|MCG+00-24-001|       SPIRAL GALAXY|
|UGC 801  |01 15 21|-01 37.2|    13.2|S0         |       801|MCG+00-04-060|   LENTICULAR GALAXY|
|UGC 7840 |12 41 10|-01 36.5|    15.7|Sc         |      7840|MCG+00-32-000|       SPIRAL GALAXY|
|UGC 2825 |03 41 26|-01 36.4|    15.5|S          |      2825|MCG+00-10-013|              GALAXY|
|UGC 973  |01 24 51|-01 36.4|    14.7|E          |       973|MCG+00-04-122|   ELLIPTICAL GALAXY|
|UGC 6720 |11 44 52|-01 35.7|    14.7|SBb        |      6720|MCG+00-30-021|SPIRAL GALAXY BARRED|
|UGC 12479|23 17 28|-01 35.6|    15.3|Sa         |     12479|MCG+00-89-017|       SPIRAL GALAXY|
|UGC 3964 |07 40 20|-01 35.0|    15.5|           |      3964|MCG+00-20-004|              GALAXY|
|UGC 965  |01 24 39|-01 34.4|    14.0|Sa         |       965|MCG+00-04-119|       SPIRAL GALAXY|
|UGC 7945 |12 46 58|-01 33.4|    15.6|DWRF SP    |      7945|MCG+00-33-010|        DWARF GALAXY|
|UGC 10683|17 04 59|-01 33.1|    16.0|DBL SYS    |     10683|MCG+00-43-000|              GALAXY|
|UGC 5447 |10 06 15|-01 32.6|    15.2|DBL SYS    |      5447|MCG+00-26-019|              GALAXY|
|UGC 492  |00 48 03|-01 32.6|    14.6|E          |       492|MCG+00-03-006|   ELLIPTICAL GALAXY|
|UGC 1905 |02 26 21|-01 32.5|    15.6|S0         |      1905|MCG+00-07-012|   LENTICULAR GALAXY|
|UGC 991  |01 25 27|-01 32.4|    14.7|Sa         |       991|MCG+00-04-130|       SPIRAL GALAXY|
|UGC 2635 |03 16 50|-01 32.0|    16.5|Sb-c       |      2635|MCG+00-09-041|       SPIRAL GALAXY|
|UGC 4430 |08 28 08|-01 32.0|    15.3|S0-a       |      4430|MCG+00-22-011|   LENTICULAR GALAXY|
|UGC 7053 |12 04 16|-01 31.7|    17.0|DWRF IR    |      7053|MCG+00-31-000|        DWARF GALAXY|
|UGC 7553 |12 27 04|-01 31.6|    17.0|           |      7553|MCG+00-32-000|              GALAXY|
|UGC 456  |00 42 39|-01 31.6|    13.4|E          |       456|MCG+00-02-135|   ELLIPTICAL GALAXY|
|UGC 2883 |03 52 14|-01 31.1|    15.0|           |      2883|MCG+00-10-025|              GALAXY|
|UGC 12211|22 50 40|-01 31.1|    13.7|E          |     12211|MCG+00-58-006|   ELLIPTICAL GALAXY|
|UGC 10352|16 22 11|-01 31.0|    13.9|E          |     10352|MCG+00-42-003|   ELLIPTICAL GALAXY|
|UGC 11850|21 56 05|-01 30.7|    14.5|E          |     11850|MCG+00-56-001|   ELLIPTICAL GALAXY|
|UGC 5723 |10 32 09|-01 30.5|    15.1|S          |      5723|MCG+00-27-000|              GALAXY|
|UGC 984  |01 25 15|-01 30.4|    14.8|S0         |       984|MCG+00-04-129|   LENTICULAR GALAXY|
|UGC 267  |00 27 28|-01 30.4|    14.8|S0         |       267|MCG+00-02-033|   LENTICULAR GALAXY|
|UGC 1679 |02 11 09|-01 29.9|    14.1|S0-a       |      1679|MCG+00-06-049|   LENTICULAR GALAXY|
|UGC 647  |01 03 27|-01 29.9|    16.0|Sb         |       647|MCG+00-03-063|       SPIRAL GALAXY|
|UGC 6359 |11 20 39|-01 29.4|    14.7|S0         |      6359|MCG+00-29-020|   LENTICULAR GALAXY|
|UGC 996  |01 25 33|-01 29.4|    14.8|S0-a       |       996|MCG+00-04-000|   LENTICULAR GALAXY|
|UGC 974  |01 24 51|-01 29.4|    15.0|S0-a       |       974|MCG+00-04-121|   LENTICULAR GALAXY|
|UGC 5896 |10 47 33|-01 28.8|    15.3|Sa-b       |      5896|MCG+00-28-010|       SPIRAL GALAXY|
|UGC 12339|23 04 40|-01 28.8|    14.0|COMPACT    |     12339|MCG+00-58-000|              GALAXY|
|UGC 11695|21 12 11|-01 27.6|    14.7|Sb         |     11695|MCG+00-54-004|       SPIRAL GALAXY|
|UGC 3216 |04 58 32|-01 27.5|    17.0|DWARF      |      3216|MCG+00-13-000|        DWARF GALAXY|
|UGC 6970 |11 58 46|-01 26.7|    14.6|IRR        |      6970|MCG+00-31-011|    IRREGULAR GALAXY|
|UGC 1003 |01 25 45|-01 26.4|    15.0|S0         |      1003|MCG+00-04-000|   LENTICULAR GALAXY|
|UGC 9472 |14 41 59|-01 25.8|    16.5|           |      9472|MCG+00-37-000|              GALAXY|
|UGC 8820 |13 54 16|-01 25.7|    13.8|Sa         |      8820|MCG+00-35-026|       SPIRAL GALAXY|
|UGC 4352 |08 20 44|-01 24.5|    15.0|TRP SYS    |      4352|MCG+00-22-002|              GALAXY|
|UGC 9601 |14 56 05|-01 24.1|    14.6|           |      9601|MCG+00-38-011|              GALAXY|
|UGC 997  |01 25 33|-01 23.4|    14.9|S0         |       997|MCG+00-04-133|   LENTICULAR GALAXY|
|UGC 921  |01 22 45|-01 23.3|    14.6|S          |       921|MCG+00-04-105|              GALAXY|
|UGC 5886 |10 46 57|-01 22.8|    14.4|S          |      5886|MCG+00-28-009|              GALAXY|
