|name          |ra      |dec     |maj_axis|mag    |cat_num  |cdec     |cra     |
|MCG+00-02-135 |00 42 39|-01 31.6|   13.00|   13.5|NGC  227 |-013134.3|004239.3|
|MCG+00-02-136 |00 43 28|-00 07.6|   13.00|   13.2|NGC  237 |-000734.9|004327.6|
|MCG+00-03-001 |00 43 34|+02 58.4|   11.00|   13.5|NGC  236 |+025825.0|004334.3|
|MCG+00-03-002 |00 43 52|+00 47.4|   12.00|   14.0|         |+004724.8|004351.8|
|MCG+00-03-003 |00 43 58|+01 51.4|   14.00|   13.5|IC   49  |+015124.7|004358.1|
|MCG+00-03-004 |00 45 33|-01 06.6|    7.00|   15.5|         |-010636.6|004533.4|
|MCG+00-03-005 |00 46 03|-01 43.6|   11.00|   12.9|NGC  245 |-014337.0|004603.3|
|MCG+00-03-006 |00 47 57|-01 34.6|    5.00|   14.0|         |-013438.7|004757.3|
|MCG+00-03-007 |00 48 28|+01 20.3|    4.00|   16.0|         |+012020.9|004828.0|
|MCG+00-03-008 |00 49 21|-01 46.7|   10.00|   14.0|         |-014639.9|004921.2|
|MCG+00-03-009 |00 49 34|+01 06.4|   19.00|   13.0|         |+010619.9|004933.9|
|MCG+00-03-010 |00 49 52|+00 57.3|    5.50|   15.5|         |+005719.6|004951.9|
|MCG+00-03-011 |00 49 58|-00 07.7|    4.00|   15.5|         |-000740.5|004957.6|
|MCG+00-03-012 |00 50 33|-01 55.7|   19.00|   12.0|NGC  271 |-015541.1|005033.2|
|MCG+00-03-013 |00 50 58|+01 43.3|    4.00|   15.5|         |+014318.6|005058.1|
|MCG+00-03-014 |00 51 22|+01 22.3|    7.50|   15.5|         |+012218.2|005122.0|
|MCG+00-03-015 |00 51 27|-01 15.7|    3.00|   15.5|         |-011541.9|005127.3|
|MCG+00-03-016 |00 51 33|-02 02.7|    4.00|   16.0|         |-020242.0|005133.1|
|MCG+00-03-017 |00 51 47|+03 05.3|    6.00|   15.0|         |+030517.8|005146.4|
|MCG+00-03-018 |00 51 58|-00 29.7|    4.00|   15.0|         |-002942.4|005157.5|
|MCG+00-03-019 |00 52 10|+02 26.3|    5.50|   15.5|         |+022617.4|005210.3|
|MCG+00-03-019A|00 52 15|-02 11.7|   11.00|   13.0|NGC  279 |-021142.7|005215.1|
|MCG+00-03-020 |00 52 34|+01 47.3|    8.00|   15.0|         |+014717.0|005234.1|
|MCG+00-03-021 |00 52 58|+01 12.3|    7.50|   15.0|         |+011216.6|005258.0|
|MCG+00-03-022 |00 53 28|+02 45.2|    5.50|   15.0|         |+024516.2|005328.4|
|MCG+00-03-023 |00 53 34|+02 56.3|   16.00|   14.0|         |+025616.1|005334.4|
|MCG+00-03-024 |00 54 58|+01 22.3|    8.50|   14.5|         |+012214.7|005458.0|
|MCG+00-03-025 |00 55 09|-01 03.8|    0.00|   15.0|         |-010345.5|005509.4|
|MCG+00-03-026 |00 55 12|-01 05.8|    6.00|   15.0|         |-010545.6|005512.4|
|MCG+00-03-027 |00 55 15|-00 55.7|    6.00|   15.5|         |-005545.6|005515.4|
|MCG+00-03-028 |00 55 15|-01 17.8|    0.00|   15.0|         |-011745.6|005515.3|
|MCG+00-03-029 |00 55 54|-00 57.8|    0.00|   15.0|         |-005746.3|005554.4|
|MCG+00-03-030 |00 56 04|+00 37.2|    4.00|   15.5|         |+003713.5|005603.8|
|MCG+00-03-031 |00 56 09|-01 08.8|    0.00|   15.5|         |-010846.6|005609.3|
|MCG+00-03-032 |00 56 15|-01 16.8|   10.00|   15.0|         |-011646.7|005615.3|
|MCG+00-03-033 |00 56 21|-01 13.8|    2.50|   15.0|         |-011346.8|005621.3|
|MCG+00-03-034 |00 56 21|-01 16.8|    0.00|   15.0|         |-011646.8|005621.3|
|MCG+00-03-035 |00 56 27|-01 48.8|   11.00|   14.0|NGC  307 |-014846.9|005627.1|
|MCG+00-03-036 |00 56 33|-01 19.8|    4.50|   14.0|         |-011947.0|005633.3|
|MCG+00-03-037 |00 56 48|-01 17.8|    5.50|   15.5|         |-011747.2|005648.3|
|MCG+00-03-038 |00 56 51|-01 13.8|    7.00|   14.5|         |-011347.3|005651.3|
|MCG+00-03-039 |00 56 57|-00 53.8|    2.50|   14.5|         |-005347.4|005657.4|
|MCG+00-03-040 |00 57 15|-00 41.8|    4.00|   15.5|         |-004147.7|005715.5|
|MCG+00-03-041 |00 57 33|-01 24.8|    5.00|   14.5|         |-012448.0|005733.2|
|MCG+00-03-042 |00 57 46|-00 25.8|    3.50|   15.0|         |-002548.3|005745.5|
|MCG+00-03-043 |00 57 51|-01 08.8|    0.00|   15.5|         |-010848.4|005751.3|
|MCG+00-03-044 |00 58 18|-01 56.8|    0.00|   15.0|         |-015648.8|005818.1|
|MCG+00-03-045 |00 58 22|+02 03.2|    4.00|   16.0|         |+020311.1|005822.2|
|MCG+00-03-046 |00 58 37|+03 01.2|    4.50|   15.5|         |+030110.8|005837.5|
|MCG+00-03-047 |00 58 46|+00 35.2|    6.00|   14.0|IC 1607  |+003510.7|005845.8|
|MCG+00-03-048 |00 59 16|-00 12.8|    5.50|   16.0|         |-001249.9|005915.6|
|MCG+00-03-049 |00 59 40|+00 54.2|    8.00|   15.0|         |+005409.7|005939.9|
|MCG+00-03-050 |01 00 09|-02 01.9|    8.00|   15.5|         |-020150.9|010009.0|
|MCG+00-03-051 |01 00 27|-01 42.8|    4.50|   15.0|         |-014251.2|010027.1|
|MCG+00-03-052 |01 00 33|-01 43.9|    7.00|   14.9|         |-014351.3|010033.1|
|MCG+00-03-053 |01 00 45|-00 44.9|    4.00|   15.5|         |-004451.5|010045.4|
|MCG+00-03-054 |01 01 15|-01 07.9|    4.00|   15.5|         |-010752.1|010115.3|
|MCG+00-03-055 |01 01 21|-01 18.9|    7.00|   15.5|         |-011852.2|010121.2|
|MCG+00-03-056 |01 01 50|+03 03.1|    9.00|   15.0|         |+030307.3|010149.6|
|MCG+00-03-057 |01 02 03|-01 57.9|   10.00|   14.0|NGC  351 |-015753.0|010203.0|
|MCG+00-03-058 |01 02 27|-01 58.9|   10.00|   15.0|NGC  353 |-015853.5|010227.0|
|MCG+00-03-059 |01 02 45|-01 28.9|    7.00|   15.0|         |-012853.8|010245.2|
|MCG+00-03-060 |01 02 51|-01 34.9|    4.50|   15.5|         |-013453.9|010251.2|
|MCG+00-03-061 |01 03 04|+01 38.1|    7.50|   16.0|         |+013805.8|010304.2|
|MCG+00-03-062 |01 03 22|+01 51.1|    7.00|   15.5|         |+015105.5|010322.2|
|MCG+00-03-063 |01 03 21|-01 31.9|    5.00|   15.5|         |-013154.5|010321.2|
|MCG+00-03-064 |01 03 40|-00 30.9|    9.00|   15.5|         |-003054.9|010339.5|
|MCG+00-03-065 |01 03 49|+02 16.1|    7.00|   15.5|         |+021604.9|010349.4|
|MCG+00-03-066 |01 04 09|-00 47.9|    0.00|   14.0|NGC  359 |-004755.5|010409.4|
|MCG+00-03-067 |01 04 09|-01 06.9|    8.00|   15.0|         |-010655.5|010409.3|
|MCG+00-03-068 |01 04 15|-01 07.9|    4.00|   16.0|         |-010755.6|010415.3|
|MCG+00-03-069 |01 04 33|-00 50.9|   10.00|   14.0|NGC  364 |-005055.9|010433.4|
|MCG+00-03-070 |01 05 04|+02 08.0|  120.00|   10.0|IC 1613  |+020803.5|010504.3|
|MCG+00-03-071 |01 06 04|+00 46.0|    8.00|   15.5|         |+004602.3|010603.9|
|MCG+00-03-072 |01 06 17|+03 33.1|    5.50|   15.0|         |+033302.0|010616.8|
|MCG+00-03-073 |01 06 33|-02 13.0|    7.00|   15.5|         |-021258.3|010632.9|
|MCG+00-03-074 |01 07 15|-00 38.0|    9.00|   14.5|         |-003759.2|010715.4|
|MCG+00-03-075 |01 07 25|+00 54.0|    7.00|   14.5|NGC  391 |+005400.6|010724.9|
|MCG+00-03-076 |01 07 28|+02 12.0|    7.00|   15.0|         |+021200.5|010728.4|
|MCG+00-04-001 |01 07 40|+02 07.0|    5.00|   15.5|         |+020700.3|010740.3|
|MCG+00-04-002 |01 07 46|+02 11.0|    5.50|   16.0|         |+021100.1|010746.4|
|MCG+00-04-003 |01 07 46|+01 05.0|    9.00|   15.0|         |+010500.2|010746.0|
